日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-12-27,'300087,荃银高科,8.82,8.9,8.69,8.76,8.76,0.06,0.6849,0.7982,3434735,30168135.47,3795511226.22,3795511226.22
2019-12-26,'300087,荃银高科,8.76,8.96,8.71,8.9,8.88,-0.12,-1.3514,0.4333,1864799,16417028.19,3769691421.96,3769691421.96
2019-12-25,'300087,荃银高科,8.88,9.05,8.75,8.96,8.98,-0.1,-1.1136,0.6278,2701825,24023956.89,3821331030.48,3821331030.48
2019-12-24,'300087,荃银高科,8.98,8.98,8.71,8.75,8.78,0.2,2.2779,0.9421,4054013,35918695.88,3864364037.58,3864364037.58
2019-12-23,'300087,荃银高科,8.78,9.01,8.76,8.79,8.79,-0.01,-0.1138,0.9961,4286549,38073491.7,3778298023.38,3778298023.38
2019-12-20,'300087,荃银高科,8.79,9.06,8.74,8.87,8.82,-0.03,-0.3401,0.9718,4182146,37005183.82,3782601324.09,3782601324.09
2019-12-19,'300087,荃银高科,8.82,9.13,8.61,8.61,8.74,0.08,0.9153,1.1677,5024955,44513551.39,3795511226.22,3795511226.22
2019-12-18,'300087,荃银高科,8.74,9.15,8.54,8.8,8.35,0.39,4.6707,1.4233,6124718,53652543.14,3761084820.54,3761084820.54
2019-12-17,'300087,荃银高科,8.35,8.42,8.16,8.22,8.17,0.18,2.2032,0.5166,2223108,18447031.2,3593256092.85,3593256092.85
2019-12-16,'300087,荃银高科,8.17,8.22,7.87,7.91,7.92,0.25,3.1566,0.5059,2176978,17500860.1,3515796680.07,3515796680.07
2019-12-13,'300087,荃银高科,7.92,7.94,7.84,7.86,7.86,0.06,0.7634,0.1973,849127,6706615.57,3408214162.32,3408214162.32
2019-12-12,'300087,荃银高科,7.86,7.92,7.84,7.88,7.88,-0.02,-0.2538,0.1023,440283,3466219.72,3382394358.06,3382394358.06
2019-12-11,'300087,荃银高科,7.88,7.9,7.75,7.85,7.84,0.04,0.5102,0.121,520789,4079144.65,3391000959.48,3391000959.48
2019-12-10,'300087,荃银高科,7.84,7.96,7.82,7.91,7.91,-0.07,-0.885,0.1192,513066,4036180.68,3373787756.64,3373787756.64
2019-12-09,'300087,荃银高科,7.91,7.93,7.8,7.8,7.89,0.02,0.2535,0.1323,569400,4490122.23,3403910861.61,3403910861.61
2019-12-06,'300087,荃银高科,7.89,7.9,7.84,7.84,7.84,0.05,0.6378,0.1486,639470,5036817.73,3395304260.19,3395304260.19
2019-12-05,'300087,荃银高科,7.84,7.92,7.78,7.89,7.79,0.05,0.6418,0.2181,938361,7370984.13,3373787756.64,3373787756.64
2019-12-04,'300087,荃银高科,7.79,7.82,7.7,7.7,7.74,0.05,0.646,0.1205,518533,4018434.61,3352271253.09,3352271253.09
2019-12-03,'300087,荃银高科,7.74,7.85,7.71,7.72,7.79,-0.05,-0.6418,0.0992,427100,3310666.0,3330754749.54,3330754749.54
2019-12-02,'300087,荃银高科,7.79,7.85,7.71,7.71,7.75,0.04,0.5161,0.1114,479350,3729960.04,3352271253.09,3352271253.09
2019-11-29,'300087,荃银高科,7.75,7.83,7.7,7.83,7.75,0.0,0.0,0.0962,413912,3202489.76,3335058050.25,3335058050.25
2019-11-28,'300087,荃银高科,7.75,7.9,7.6,7.6,7.78,-0.03,-0.3856,0.16,688602,5364520.26,3335058050.25,3335058050.25
2019-11-27,'300087,荃银高科,7.78,7.99,7.71,7.74,7.74,0.04,0.5168,0.1754,755007,5934932.3,3347967952.38,3347967952.38
2019-11-26,'300087,荃银高科,7.74,7.8,7.6,7.78,7.79,-0.05,-0.6418,0.0861,370689,2873613.86,3330754749.54,3330754749.54
2019-11-25,'300087,荃银高科,7.79,7.83,7.7,7.74,7.8,-0.01,-0.1282,0.0932,400914,3101217.13,3352271253.09,3352271253.09
2019-11-22,'300087,荃银高科,7.8,7.94,7.71,7.83,7.83,-0.03,-0.3831,0.1502,646508,5037506.76,3356574553.8,3356574553.8
2019-11-21,'300087,荃银高科,7.83,8.15,7.76,7.87,7.98,-0.15,-1.8797,0.2437,1048590,8237712.81,3369484455.93,3369484455.93
2019-11-20,'300087,荃银高科,7.98,8.19,7.65,7.78,7.78,0.2,2.5707,0.4745,2041836,16062637.78,3434033966.58,3434033966.58
2019-11-19,'300087,荃银高科,7.78,7.87,7.62,7.7,7.78,0.0,0.0,0.231,993901,7716675.84,3347967952.38,3347967952.38
2019-11-18,'300087,荃银高科,7.78,7.88,7.5,7.88,7.84,-0.06,-0.7653,0.2158,928489,7112231.07,3347967952.38,3347967952.38
2019-11-15,'300087,荃银高科,7.84,7.98,7.7,7.98,7.86,-0.02,-0.2545,0.3241,1394606,10869928.36,3373787756.64,3373787756.64
2019-11-14,'300087,荃银高科,7.86,7.92,7.67,7.92,7.89,-0.03,-0.3802,0.1891,813716,6351098.86,3382394358.06,3382394358.06
2019-11-13,'300087,荃银高科,7.89,8.05,7.82,8.05,7.93,-0.04,-0.5044,0.1717,738896,5813431.36,3395304260.19,3395304260.19
2019-11-12,'300087,荃银高科,7.93,8.05,7.91,7.96,7.96,-0.03,-0.3769,0.1455,626100,4983631.0,3412517463.03,3412517463.03
2019-11-11,'300087,荃银高科,7.96,8.21,7.91,8.08,8.16,-0.2,-2.451,0.3209,1380794,11043770.94,3425427365.16,3425427365.16
2019-11-08,'300087,荃银高科,8.16,8.27,8.12,8.22,8.22,-0.06,-0.7299,0.268,1153485,9420722.67,3511493379.36,3511493379.36
2019-11-07,'300087,荃银高科,8.22,8.24,8.01,8.01,8.09,0.13,1.6069,0.3246,1396819,11425560.87,3537313183.62,3537313183.62
2019-11-06,'300087,荃银高科,8.09,8.38,8.07,8.38,8.28,-0.19,-2.2947,0.4184,1800419,14652175.98,3481370274.39,3481370274.39
